gamma,learning_rate,step_size,weight_decay,best_val_loss,best_val_mae,best_val_mse,best_epoch,epoch_time_seconds,total_epochs
0.5,0.005,10,0.0,0.1667313063517213,1.339437248185277,8.169826827943325,37,4.156487265298533,43
0.1,0.01,10,1e-05,0.17644812585785985,1.3433033488690853,8.64595128595829,25,3.4826100147687473,26
0.5,0.01,10,1e-05,0.171578171197325,1.3555940259248018,8.407319858670235,31,4.272152604283513,37
0.1,0.01,10,0.0,0.17406825884245336,1.3598848581314087,8.529328733682632,26,3.3612322499675136,31
0.5,0.005,10,1e-05,0.17187592294067144,1.3610014244914055,8.42191281914711,36,4.177517259443128,37
0.1,0.005,10,1e-05,0.1766940145753324,1.361538790166378,8.657994851469994,20,3.4754844145341353,22
0.25,0.005,10,1e-05,0.1744655855000019,1.365449484437704,8.548804357647896,21,3.4563698062190302,27
0.1,0.01,10,0.0001,0.1798680021893233,1.3659623116254807,8.813520208001137,28,3.4252469259149887,34
0.5,0.005,20,1e-05,0.17306669242680073,1.36789396032691,8.480261638760567,30,4.1647764510578575,36
0.5,0.005,10,0.0001,0.17887841165065765,1.3715211991220713,8.765031389892101,30,4.209374785423279,36
0.25,0.01,10,0.0,0.1716752601787448,1.3737441152334213,8.412077687680721,22,3.4702379448073253,28
0.25,0.001,30,1e-05,0.17927924287505448,1.3743110839277506,8.784673810005188,32,3.444215623955978,38
0.1,0.005,10,0.0,0.1773210782557726,1.3746022023260593,8.688722684979439,17,3.4023180760835348,19
0.25,0.005,20,0.0,0.17158019985072315,1.382089577615261,8.407425008714199,23,3.3598799541078765,29
0.1,0.001,30,1e-05,0.17909868387505412,1.3830757476389408,8.775829166173935,36,3.4846196742284867,42
0.25,0.001,30,0.0,0.17542111035436392,1.3851634301245213,8.595624648034573,40,3.391403862408229,42
0.1,0.005,10,0.0001,0.18407328543253243,1.3867276273667812,9.019581332802773,30,3.4215390160679817,32
0.25,0.005,10,0.0001,0.17957795853726566,1.3876599930226803,8.799308702349663,23,3.456090548942829,29
0.25,0.001,20,0.0,0.18524891044944525,1.3881861604750156,9.077186524868011,28,3.3521703902412865,34
0.5,0.01,10,0.0,0.1744722209405154,1.3897219337522984,8.54913042485714,26,4.340241352717082,27
0.25,0.01,10,0.0001,0.18295277282595634,1.3999030590057373,8.964676357805729,23,3.4458303122684875,29
0.1,0.001,20,1e-05,0.18426102492958307,1.40114064514637,9.028776355087757,31,3.467836283147335,32
0.5,0.001,30,0.0,0.18176393141038716,1.4090836849063635,8.906421929597855,34,3.542722076177597,40
0.1,0.01,20,0.0001,0.18099268968217075,1.4118743129074574,8.868632011115551,28,3.407709421650056,31
0.1,0.001,20,0.0,0.1866098300088197,1.4131522700190544,9.143870770931244,31,3.4092410241856292,34
