gamma,learning_rate,step_size,weight_decay,best_val_loss,best_val_mae,best_val_mse,best_epoch,epoch_time_seconds,total_epochs
0.25,0.0005,10,0.0,0.2177297668531537,1.5253502689301968,10.6687530875206,35,3.3711789780192905,36
0.5,0.0005,10,0.0001,0.20734275737777352,1.5253914892673492,10.15979316830635,37,3.5970338206542167,38
0.25,0.001,30,0.0001,0.20037408685311675,1.5263852551579475,9.818324342370033,24,3.406862910588582,30
0.5,0.0005,10,0.0,0.2037844555452466,1.5336269102990627,9.985436394810677,34,3.549309314825596,39
0.1,0.0005,30,0.0,0.20660575665533543,1.5353381857275963,10.123674601316452,24,3.5750838041305544,30
0.1,0.0005,30,0.001,0.21448672353290021,1.5419733561575413,10.509844496846199,38,3.528493111783808,44
0.25,0.0005,10,1e-05,0.21714897849597037,1.545524887740612,10.640297397971153,26,3.4481933287211826,28
0.25,0.001,20,0.001,0.2107358502689749,1.5486751273274422,10.326047658920288,26,3.436140261590481,32
0.25,0.005,30,1e-05,0.18615558673627675,1.549728911370039,9.121617048978806,15,3.444781939188639,21
0.5,0.01,30,0.0001,0.19870147248730063,1.5508723594248295,9.736361220479012,21,4.385773870680067,27
0.25,0.005,20,1e-05,0.1928024950902909,1.5559139847755432,9.447313904762268,17,3.455067271771638,23
0.1,0.0005,10,0.0,0.22498377109877765,1.5575642809271812,11.024197742342949,28,3.4154255719020448,29
0.1,0.0005,10,1e-05,0.2262517644558102,1.560933768749237,11.086333230137825,25,3.447055303133451,26
0.5,0.0005,20,0.0,0.20836693444289267,1.5612127147614956,10.209975838661194,29,3.498754480906895,35
0.25,0.0005,30,0.0,0.2075113607570529,1.561369851231575,10.168052479624748,21,3.3916833489029496,27
0.1,0.001,30,0.0001,0.20986266317777336,1.5623900033533573,10.283260613679886,18,3.4775612354278564,24
0.25,0.01,20,0.0,0.19861822482198477,1.5673622265458107,9.732283785939217,16,3.402553308010101,20
0.1,0.001,20,0.001,0.21265730820596218,1.5705433897674084,10.4202019572258,31,3.5281869527455925,37
0.1,0.0005,10,0.0001,0.23056297423318028,1.5707745887339115,11.29758633673191,27,3.4485624658650367,29
0.5,0.01,10,0.0001,0.20037239929661155,1.5711072199046612,9.818238258361816,11,4.442670471527997,17
0.5,0.01,20,0.0,0.19668394280597568,1.5785716511309147,9.637505009770393,12,4.363171365525988,18
0.25,0.01,30,1e-05,0.2001413858961314,1.5801669582724571,9.806917920708656,9,3.435476462046305,15
0.25,0.01,20,1e-05,0.20152646163478494,1.5856570228934288,9.874785646796227,12,3.4868885940975614,18
0.25,0.0005,10,0.0001,0.2284853858873248,1.5872876271605492,11.195780038833618,14,3.4838057279586794,20
0.5,0.01,20,1e-05,0.19573899800889194,1.58967624604702,9.59120075404644,16,4.423325765132904,20
0.5,0.0005,30,0.0001,0.2158178340177983,1.5903629958629608,10.575072094798088,27,3.5341731309890747,30
0.1,0.005,20,0.001,0.2168885834980756,1.6037361174821854,10.627529114484787,25,3.4365357429750505,31
0.25,0.005,30,0.0001,0.19743455899879336,1.6126059852540493,9.674280226230621,20,3.4288756388884325,26
0.25,0.001,10,0.001,0.23763272864744067,1.6144005060195923,11.644001975655556,15,3.413390636444092,17
0.5,0.001,10,0.0001,0.22514133201912045,1.6170852445065975,11.031916305422783,10,4.002997547388077,16
0.5,0.001,20,0.001,0.21694476529955864,1.6207549422979355,10.630284994840622,24,3.426667030652364,30
0.5,0.005,30,0.0001,0.22559197922237217,1.6221310123801231,11.054000914096832,7,3.4862878689399133,13
0.1,0.0005,20,0.001,0.22399743273854256,1.6252829283475876,10.97586476802826,33,3.4706305927700467,36
0.25,0.0005,30,0.001,0.2183554982766509,1.625287190079689,10.699411794543266,36,3.46239236883215,37
0.5,0.0005,30,0.001,0.2193631432019174,1.6265272684395313,10.748786389827728,40,3.5356376015621684,46
0.1,0.001,10,0.001,0.23135051783174276,1.6270755007863045,11.336174681782722,20,3.4472606640595655,26
0.25,0.0005,20,0.001,0.22652706410735846,1.6316687762737274,11.099818110466003,28,3.4187598088208366,34
0.25,0.0005,10,0.001,0.23993905168026686,1.64074432477355,11.757010504603386,37,3.4420977077986064,38
0.1,0.01,20,0.0,0.20847849361598492,1.6455299220979214,10.215435400605202,8,3.367522989000593,14
0.5,0.0005,20,0.001,0.23746366635896266,1.645970195531845,11.635716453194618,26,3.5567000338009427,28
0.5,0.001,10,0.001,0.2357230803463608,1.646412841975689,11.550423547625542,21,3.448568273473669,27
0.5,0.01,30,1e-05,0.19805290875956416,1.6622338630259037,9.704582706093788,10,4.376123875379562,16
0.5,0.0005,30,0.0,0.23013654444366693,1.6643784195184708,11.27668334543705,18,3.3907886346181235,24
0.1,0.005,30,1e-05,0.21036118105985224,1.6670244596898556,10.307689130306244,9,3.429374996821086,15
0.1,0.0005,10,0.001,0.24645628966391087,1.6763711124658585,12.076355174183846,26,3.479935936629772,32
0.5,0.005,10,0.001,0.22444645990617573,1.6782010905444622,10.997868567705154,23,4.214751399796585,29
0.1,0.01,20,1e-05,0.21333638625219464,1.6800255440175533,10.453475579619408,15,3.42144313454628,16
0.1,0.005,20,0.0001,0.2350310585461557,1.6842105574905872,11.516512408852577,7,3.435455377285297,13
0.5,0.001,30,0.001,0.24150496302172542,1.705748040229082,11.833734020590782,16,3.5478516708720815,22
0.5,0.005,20,0.001,0.23513697716407478,1.7103244215250015,11.521703273057938,24,4.1405642827351885,30
0.1,0.005,30,0.001,0.24554324569180608,1.7454188875854015,12.03160585463047,20,3.448675568287189,26
0.25,0.005,20,0.0001,0.22820306615903974,1.7546267956495285,11.181938976049423,9,3.4429230213165285,15
0.1,0.005,20,0.0,0.22168380883522332,1.7641505040228367,10.862500578165054,11,3.375267505645752,12
0.25,0.005,30,0.001,0.25097340205684304,1.7822062112390995,12.29769317805767,23,3.4126263075861436,29
0.25,0.01,30,0.0001,0.24074358772486448,1.7840822152793407,11.796418651938438,13,3.464800000190735,14
0.5,0.0005,10,0.001,0.26261631213128567,1.7878248319029808,12.868202030658722,11,3.566846679238712,17
0.1,0.0005,20,0.0001,0.2579740728251636,1.7907030545175076,12.640724286437035,12,3.451118138101366,18
0.1,0.01,30,0.0001,0.2586268992163241,1.852223765105009,12.67271226644516,6,3.415669560432434,12
0.5,0.01,10,0.001,0.28024951135739684,1.918219618499279,13.732210949063301,12,4.5370932420094805,18
0.25,0.005,20,0.001,0.27466521924361587,1.9625189527869225,13.458584889769554,13,3.509291774348209,19
0.5,0.005,30,0.001,0.2728586639277637,2.0007299445569515,13.370056599378586,13,4.1240339655625196,19
0.1,0.01,20,0.001,0.3074827594682574,2.0484326668083668,15.066646009683609,7,3.405986235691951,13
0.1,0.01,30,0.001,0.29294929606840014,2.0500389710068703,14.354504555463791,8,3.4060139996664867,14
0.5,0.01,30,0.001,0.31711301812902093,2.1879789605736732,15.538537204265594,22,4.35151526757649,28
0.25,0.01,20,0.001,0.32762073958292603,2.2139416933059692,16.053408056497574,10,3.484014540910721,16
0.5,0.01,20,0.001,0.3320979126729071,2.246699906885624,16.272793501615524,8,4.283558232443673,14
0.1,0.005,10,0.001,0.35782410064712167,2.2507989443838596,17.53338396549225,4,3.4338833570480345,10
0.25,0.01,10,0.001,0.36800909088924527,2.268222860991955,18.032436311244965,8,3.4380878686904905,10
0.25,0.01,30,0.001,0.3425486166961491,2.2953326031565666,16.784874588251114,14,3.443888336420059,16
0.25,0.005,10,0.001,0.3902865117415786,2.306493178009987,19.12402656674385,2,3.435843297413417,7
